content,score,at
sgt membantu,4,2020-09-25 13:55:48
berharap ada keajaiban,4,2022-02-14 07:48:28
baik,4,2024-12-01 17:57:25
lancar,4,2021-06-25 23:01:26
mantap,4,2019-08-20 08:43:10
bagus,4,2019-08-22 09:29:19
bagus,4,2020-12-17 19:58:57
mntap,4,2024-04-09 17:31:52
lumayan,4,2019-09-08 15:47:58
baik,4,2020-02-12 08:26:33
ok,4,2019-12-25 16:29:59
alhamdulillah,4,2019-10-03 10:07:16
baik,4,2020-07-23 07:11:56
mantap,4,2019-11-04 06:48:44
,4,2024-02-05 12:07:16
boleh juga,4,2019-04-29 07:55:11
i like,4,2019-02-20 12:09:14
bagus,4,2019-05-23 14:11:21
lumayan,4,2019-05-27 11:30:52
bagus,4,2019-01-26 11:08:42
sip,4,2019-02-08 12:11:09
terimakasih sudah menyiapkan aplikasi yg dapat membantu sy dalam melihat info ptk,4,2018-09-06 05:04:12
jadikan aplikasi ini sebagai kemudahan bagi para sukwan untuk menjadi lebih baik makasih,4,2017-12-07 22:06:12
siap ptk upgade ke siap simpatika jadi gak bisa d buka error kenapa,4,2018-04-17 09:09:10
aplikasi ptk yang sangat membantu untuk kemajuan para pendidik dalam mencari perkembangan sekitar ptk,4,2018-02-05 12:56:35
semoga dengan aplikasi ptk ini semua guru honorer dapat nuptk ,4,2017-10-28 16:06:06
kok lebih simpel n mudah pada smester kemarin ikon nya,4,2018-07-31 10:23:24
sangat simpel mudah di akses bravo,4,2017-12-19 16:22:29
ditingkatkan lagi aplikasinya,4,2018-08-26 09:23:56
sedikit kendala dalam error data not update,4,2018-02-01 11:34:35
informasinya lbh ditingkatkan lagi,4,2017-11-18 20:30:55
bagus namun menu kurang,4,2018-01-31 09:18:55
siiiip dua jempol,4,2017-11-09 10:14:49
thanks manfaat,4,2018-04-10 18:56:46
sangat membantu,4,2018-07-13 21:15:06
ok,4,2018-10-10 09:24:04
mantap,4,2018-08-09 10:18:45
mantab,4,2018-10-13 08:55:48
mantap,4,2018-07-17 18:32:17
mantap,4,2018-02-04 08:21:25
tingkatkan lagi,4,2018-08-06 14:52:00
sangat berguna,4,2018-04-30 19:28:14
sangat membantu,4,2018-05-16 17:38:16
aplikasi baik,4,2018-04-03 17:57:36
sebagai guru baru saya merasa terbantu dengan adanya update update terbaru terkait npk verval nrg dll,4,2016-06-05 20:15:02
tpi kalau bsa diberikn info lnjutan jka ada invalit soal nuptkmksh,4,2016-09-29 07:05:07
kendala km pd jaringan hrs mlm begadang dg aplikasi ini,4,2018-03-26 11:26:49
tolong bisa diaktipk juga untuk login ptknya donkbiar gk buka google lagi,4,2017-03-08 09:49:08
lebih mudah untuk pencarian datanya,4,2017-08-07 00:06:38
bagus cuman kadang susah untuk masuk,4,2017-03-11 19:45:46
menjadikan pribadi yg menguasai iptek,4,2017-01-08 21:17:31
sangat membantu trimakasih,4,2016-10-03 10:15:41
infonya harus lebih bagus,4,2017-10-01 16:56:54
sangat bermanfaat bagi pendidik,4,2016-10-27 08:11:55
sangan membantu buat guru,4,2017-03-29 14:35:04
error susah masuk,4,2017-09-20 12:35:06
semoga bermanfaat,4,2017-06-05 21:45:42
tapi sayang susah log in,4,2017-04-04 22:22:33
resep kanggo cekmah,4,2017-04-11 20:19:40
ok trima ksh,4,2016-07-15 14:19:09
coba dulu yaa,4,2017-01-16 09:52:40
oke,4,2017-10-08 16:26:53
baguuss,4,2016-06-12 15:42:00
bagus,4,2016-06-13 18:32:26
good,4,2017-08-04 16:29:29
ok,4,2017-03-11 14:49:43
alhamdulillah,4,2018-03-08 18:39:57
sngat trbantukan,4,2017-06-18 22:07:09
sangat membantu,4,2016-11-09 19:05:10
sangat membantu,4,2016-09-21 20:29:57
oke bgt,4,2016-07-05 05:20:11
bagus mudah,4,2017-03-23 08:20:38
lebih bermanfaat,4,2017-04-10 21:37:25
terima kasih ,4,2017-08-08 10:21:40
membantu,4,2017-08-29 19:02:41
download jg aplikasi ojek online ojekkoe yaa,4,2016-02-17 17:19:44
siip,4,2016-01-29 09:38:41
aplikasi bagus sangat membantu untuk online tanpa pc namun kiranya perlu perbaikan karena sangat sering gagal login walaupun koneksi internet bagus hanya bisa cek status ptk terima kasih tetap semangat bagi pengembang semoga sehat selalu dan diberi kemudahan aamiin,4,2015-09-03 20:47:22
ini sangat membantu tolong untuk melengkapi aplikasi siap ptk biar lebih lengkap dan mudah untuk onlaine,4,2015-10-01 11:51:18
aplikasi ini bagus dan membantu sekali bisa di akses via android dmn saja,4,2015-04-29 18:10:05
mohon dibikin kan untuk login kabupaten kota,4,2015-04-26 07:20:00
sangat membantu mecari data pribadi ptk,4,2015-06-07 20:53:53
mudah untk mengecek  nuptk,4,2015-08-10 18:07:28
sangat bermanfaat untuk seluruh ptk,4,2015-06-05 12:59:22
tuk info guru terkini,4,2015-08-14 16:10:06
sangat membantu sekali mantaaap,4,2015-05-08 19:54:31
sukses,4,2015-10-21 10:37:26
top,4,2015-10-10 11:11:31
ok,4,2015-05-05 13:44:24
hebat,4,2015-07-02 06:47:19
weeeeeeessss,4,2015-12-22 01:26:47
mantap,4,2015-07-08 19:21:17
good,4,2015-08-28 23:24:00
mantap,4,2015-07-05 19:05:25
bermanfaatterima kasih,4,2015-06-25 19:24:49
membantu sekali,4,2015-06-27 11:55:26
smg bermanfaat,4,2015-10-06 16:58:21
sangat bermanfaat,4,2015-05-12 20:29:31
cukup bagus,4,2015-09-06 13:49:40
not bad,4,2015-05-04 19:39:57
siap ptk memberi kemudahan untuk cari nuptk kita atau teman kita dimana saja kita perlukan selama terjangkau jaringan internet,4,2015-02-05 16:21:25
somoga sll d beri info bg guruptk yang uptodate agar guru tdk ketinggalan,4,2015-02-18 17:42:06
saya sangat senang sekali dengan layanan aplikasi  yg cepat hebaat dan akurat,4,2015-04-15 17:53:35
sayang sekali data di padamu tidak bisa ditampilkan secara fullmohon lebih ditingkatkan,4,2015-03-14 17:06:29
praktis kemanapun aku berada informasi selalu dekat di hati,4,2015-02-26 10:07:47
padamu negeri dapat membantu saya dalam  informasi tentang ptkterimakasih,4,2015-03-10 14:35:46
smoga bisa mempermudah akses berbagai informasi,4,2015-04-16 02:25:57
berikan kami informasi yang lebih akurat disini,4,2015-01-23 13:11:48
ga ada nilai lebihnya dari verai web,4,2015-03-30 10:21:34
mudahan bisa mempermudah pekerjaan dan tidak mkin ribet,4,2015-02-12 15:42:03
kalo bisa aplikasi ini bisa pale edit data,4,2015-01-22 14:53:46
aplikasi ini sangat membantu saya mengetahui berita terbaru tentang padamu,4,2015-02-04 18:50:30
trimksh padamu negeri banyak kemanfaatan bagi km ptk,4,2015-01-14 14:23:16
padamu negeri jiwa raga kami ,4,2015-03-26 16:53:46
mudahan dapat lbh cepat info dr diknas,4,2015-03-10 19:10:55
tp mash tak paham masukknyah,4,2015-02-09 23:04:29
sangat berguna utk para guru,4,2015-01-21 11:14:20
top untuk mendapatkan informasi tentang ptk,4,2014-12-28 21:35:22
oceegampang aksesnya,4,2015-02-14 10:39:52
sangat membantu,4,2015-04-15 11:47:43
semoga tetap jaya,4,2015-01-11 02:38:32
itu kata yang tepat untuk padamu,4,2015-03-16 10:00:22
terimakasih banyak membantu,4,2015-01-21 19:37:05
sangat membantu sekali,4,2015-04-17 08:42:34
informatif dan sangat membantu,4,2015-03-08 05:58:49
sangat sangat membantu sekali,4,2015-04-03 07:43:52
jd lebih update,4,2015-03-01 11:06:05
ok,4,2014-12-21 11:16:27
mantap,4,2015-01-01 13:12:02
good,4,2015-01-05 09:14:41
bagus,4,2015-02-05 18:35:26
mantap,4,2015-01-18 10:27:49
suka,4,2015-02-12 17:49:44
bgus,4,2015-01-10 13:03:03
oke,4,2015-04-01 12:47:06
akurat,4,2015-02-20 03:52:55
sio,4,2015-02-05 21:20:38
hebat,4,2015-02-10 17:55:02
mantap,4,2015-03-19 10:56:38
ok,4,2015-03-15 08:52:35
ok,4,2015-03-06 16:46:27
sngat membantu,4,2015-04-09 22:32:39
sip boss,4,2015-03-11 10:34:55
lumayan membantu,4,2014-12-12 10:59:43
oke dech,4,2015-02-17 09:53:36
fitur lengkap,4,2015-02-11 07:39:01
suka apk ini,4,2015-01-25 04:31:24
sangat membantu,4,2015-01-07 01:47:14
good plksi,4,2015-01-05 06:06:18
cek ptk,4,2015-02-18 17:18:11
siap ptk,4,2014-12-13 08:59:53
cukup membantu,4,2015-03-17 09:49:46
mantap,4,2015-03-16 08:50:06
sangat membantu walaupun jarang saya gunakan enakan di laptop,4,2014-12-03 09:00:46
perbarui terus aplikasinya minthanks,4,2014-11-04 18:52:19
bagus,4,2014-11-18 09:56:05
sip,4,2014-11-27 13:26:10
sangat baik,4,2014-11-20 10:19:43
sangat memudahkan,4,2014-11-17 07:47:49
menbantu,4,2014-11-23 14:40:46
mempermudah untk melihat info ptk dan agar kedepannya aplikasi ini dapat lebih menyempurnakan dan lebih baik,4,2014-09-28 12:40:42
terimakasih banyak aplikasi ini sangat membantu bagi para ptk terutama operator sekolah,4,2014-10-18 19:57:26
sangat berguna dlm memperbaiki status nuptk,4,2014-09-28 15:08:19
semoga dengan aplikasi ini ptk dapat mengakses data pribadinya dimana saja kapan saja,4,2014-10-03 12:28:50
semoga para guru dan staf pendidikan semakin terbantu dengan aplikasi ini,4,2014-10-21 16:48:03
agak memuaskan sdkit,4,2014-10-30 13:53:09
okey aplikasinya,4,2014-10-27 11:59:47
online,4,2014-10-07 10:49:14
mantap,4,2014-09-29 18:01:15
bagus,4,2014-10-06 18:44:37
sangat membantu,4,2014-10-28 19:21:48
aplikasinya ok,4,2014-10-28 20:14:25
sangat membantu,4,2014-10-03 18:01:55
semakin ok,4,2014-10-16 08:24:52
saya ingin mempelajari cara mengaktifkan nuptk secara pribadi mohon petunjuk sejak pengaktipan awal di thn  hingga saat ini belum melakukan pembaharuan ,4,2014-09-20 18:10:50
masih blm bisa edit memlaui aplikasi ini d data masih blm sinkron dengan apa yg dilakukan di pc,4,2014-08-25 07:24:23
dengan online dan login bisa ngecek kebenaran data,4,2014-08-24 17:51:10
perlu dan mutlak bagi guru,4,2014-09-15 12:45:21
menjadikan lebih mudah dan praktis,4,2014-05-29 12:55:01
sangat membantu guru yang portable,4,2014-09-09 04:20:14
ganti hp smart jadox,4,2014-06-05 01:07:48
mdhn bisa mmbntu,4,2014-09-15 21:37:10
meningkatkan kinerja guru,4,2014-09-07 10:59:25
aplikasi pendidikan terbaik,4,2014-08-02 21:44:46
suka,4,2014-08-30 06:48:08
online,4,2014-09-10 12:11:07
ok,4,2014-08-13 20:34:29
oke,4,2014-08-28 00:40:27
mantaf,4,2014-09-18 10:09:07
siap,4,2014-08-19 22:52:28
good,4,2014-09-06 18:38:48
mencoba,4,2014-09-14 14:00:24
simpel,4,2014-08-25 12:11:19
mantapz,4,2014-09-15 14:17:49
aku suka,4,2014-09-05 20:01:42
ok nihhh,4,2014-09-01 23:14:33
post ptk,4,2014-09-02 18:02:51
sangat membantu,4,2014-08-18 11:45:59
semoga bermanfaat,4,2014-08-20 18:24:17
gak ribet,4,2014-08-29 11:42:06
saangat membantu,4,2014-08-30 09:17:49
naahhh kalo on the go gini kan makin asyik d,4,2014-04-29 22:01:05
nice when the website is crack,4,2014-05-10 23:38:49
bagus,4,2014-04-24 17:07:04
ga perlu repot bawa laptop kalo ngerjaen padamupake android kmn n kpn aja bisa,4,2015-03-05 08:30:02
aplikasi siap padamu negeri yang memudahkan saya mengelola data ptk di sekolah tempat saya bekerja,4,2014-07-07 01:09:15
hem g usah buka laptop ckup klik hp aja,4,2015-03-04 16:11:26
sangat bermanfaat semoga kedepan akan dan selalu lebih baik amin,4,2018-04-19 16:38:51
semoga dapat memperlancar penginputan data ptk,4,2015-02-13 00:27:40
kalo pake aplikasi ini mempermudah akses ke internet,4,2014-12-16 08:19:55
terima kasih karena sangat membantu saya,4,2017-09-16 23:24:58
kurangi iklanya pleasennt bintang ,4,2018-02-01 17:54:46
smoga layanan makin baik lagi,4,2016-03-17 08:17:58
lebih mudah melihat status ptk,4,2015-04-07 22:41:11
solusi bagi ptk se indonesia,4,2015-03-14 17:10:59
belum dibuka smg aja bagus,4,2018-02-14 15:20:47
sangat membantu utk mencari nuptkthanks,4,2014-10-06 15:23:41
bapak saya pasti suka nih,4,2015-03-24 21:32:34
lumayan   good,4,2024-10-28 09:01:40
lebih baik lagi,4,2015-03-09 21:24:22
bagus tapi ndak akurat,4,2015-01-29 12:05:58
saya sudah punya nuptk,4,2015-01-16 11:37:43
aplikasi yg sangt membantu,4,2015-02-16 20:08:16
bagus perlu ditingkatkan lagi,4,2016-06-06 21:34:20
susah jaringan lola bgt,4,2015-04-20 21:39:00
dengn adanya ini memprmudh informasi,4,2014-09-14 18:11:51
permudah cek ststus ptk,4,2016-12-29 15:10:24
untuk mengetahui tunjangan perbatasan,4,2015-01-22 14:56:03
ok dech lumayan,4,2020-02-12 16:49:33
enak gk rbetgk prlu bwa laptop,4,2015-03-22 10:04:45
terimakasih sangat membantu bagi kami para ptk,4,2015-04-30 13:47:45
praktis mdh mnfaat,4,2015-02-20 19:02:47
bagus y,4,2015-01-01 05:49:04
bukaptkbuat lebih simple,4,2015-02-21 08:20:18
bagus kalau bisa lebih dimaksimalkan lagi,4,2018-04-01 02:19:11
masih connect  dengan dapodik,4,2016-06-09 13:47:05
bagus sangat memudahkan kita untuk akses simpatika,4,2017-04-21 13:16:48
trims sangat membantu,4,2015-12-09 17:51:31
informasi selalu dinantikan,4,2015-11-19 22:37:13
penting bagi guru,4,2015-01-21 00:42:13
bagus tambah lhi,4,2016-05-14 17:31:59
sangat membantu kami,4,2014-09-28 09:16:40
smile all indonesian,4,2016-08-16 15:06:35
saya suka sekali,4,2014-11-03 06:59:32
aplukasi ini sangat membantu,4,2015-02-11 06:32:36
mantap,4,2018-10-07 18:36:43
good,4,2019-05-19 10:19:33
mantap,4,2015-03-16 08:35:55
sip,4,2014-08-24 21:48:33
oke,4,2014-10-03 18:11:01
valid,4,2015-01-04 23:58:28
like,4,2018-10-30 21:42:30
mantap,4,2015-03-16 00:16:15
good,4,2021-07-19 04:26:56
mantap,4,2020-10-03 09:10:35
sip,4,2014-09-22 10:15:15
sip,4,2016-05-26 06:41:12
assurur,4,2015-09-15 10:53:51
ok,4,2015-05-06 15:31:58
baik,4,2015-03-09 12:47:31
ok,4,2020-11-07 22:28:53
bagus,4,2014-09-16 09:24:46
mantap,4,2018-11-28 15:44:30
ok,4,2015-01-23 13:03:31
ok juga,4,2014-10-08 21:17:01
puas,4,2015-12-28 20:19:25
mantap,4,2014-11-05 14:40:39
mantap,4,2015-02-28 20:21:07
anakisa,4,2014-12-11 06:49:37
mantab,4,2014-10-09 10:43:07
baik,4,2019-05-05 02:19:45
siip,4,2014-09-30 18:26:08
membantu,4,2016-03-30 22:15:07
ok,4,2015-03-24 08:22:32
good,4,2015-06-15 17:39:29
hidup untuk belajar,4,2015-07-13 15:33:50
bagus sekali,4,2015-05-15 05:32:39
agak repot antarmukannya,4,2015-06-20 19:46:30
ptk online,4,2015-02-07 05:38:47
semoga membantu,4,2014-09-06 14:35:41
memudahkam ptk,4,2015-06-07 09:58:27
good job,4,2014-10-15 21:03:54
lebih fleksibel,4,2018-03-15 20:57:55
good for all,4,2015-10-13 17:30:36
sangt bermanfaat,4,2015-07-02 08:27:34
data ptk,4,2014-11-08 21:10:53
cb dulu,4,2018-03-05 08:31:27
sangat membantu,4,2015-06-30 02:34:42
saya suka saya suka,4,2014-12-31 10:55:19
mau nyoba,4,2018-02-06 19:11:29
sangat membantu,4,2014-09-15 23:09:18
mudahn berguna,4,2015-02-10 14:37:29
sangat membantu,4,2015-04-27 12:01:53
oke bgt,4,2015-08-04 19:13:02
sangat membantu,4,2015-04-23 10:44:19
siap ptk,4,2014-11-03 14:26:06
aktualisasi amdrealisasiyangutama,4,2016-12-25 22:45:17
y,4,2015-02-06 03:17:00
bermanfaat,4,2018-05-29 14:51:46
spektakuler,4,2015-04-29 21:27:48
ok juga,4,2019-04-07 13:17:52
sudah bisa login tp data yang di tampilan masih terbatas,3,2024-12-10 20:20:42
kenapa login tidk bisa keterangan galat saat menghungi server,3,2024-12-13 13:18:18
mau login gak bs masuk galat trs,3,2024-12-26 20:16:54
hasil pencarian data tidak selengkap versi browser pccontoh untuk data sertifikasi,3,2024-10-30 21:38:04
kalo bisa untuk login operatoradmin kayanya lebih enak bisa mempermudah operator,3,2024-10-31 01:53:04
 kan full emis tapi kenapa malah harus instal simpatika,3,2024-12-27 06:10:07
agak ribet dari yg dulu,3,2024-12-30 06:49:23
semoga aplikasi ini bisa absen ptk otomatis dan tampil sesuai data perubahan di websitenya,3,2020-08-19 08:50:28
saya dikasih akun aplikasi ini dulu pas zaman sekolah fungsinya untuk apa dan saya hanya bisa login disitusnya ngga bisa di app ini,3,2019-11-17 17:23:09
saya kasih bintang  karena masih kurang belum bisa login admin usul agar login admin juga bisa sehingga memudahkan dalam pengerjaan operator,3,2018-10-27 07:25:02
fitur dan informasinya kurang lengkap mohon di tingkatkan lagi,3,2019-04-03 11:23:50
dengan ada ny siap simpatika bagus tp sy masih blm bisa mutasiin nuptk sy sendiri tlg bantu yach,3,2019-03-19 18:55:08
mhon di upgrade khususnya untuk pengajuan skmt skakpt,3,2018-10-09 19:33:26
perlu dikembangkan dan hilangkan iklannya,3,2021-04-27 15:34:14
masih banyak iklan semoga kedepan iklannya dihapus,3,2018-11-09 08:45:04
pengalaman saya sebagai pengguna googl play store sangat praktis dan efisiensi,3,2019-09-20 04:08:28
data nya masih belum lengkap,3,2021-03-12 08:12:30
mudahan bisa membantu pekerjaan sy jauh lebih praktis n efisienterus tingkatkan pelayanan primasebagaimana alloh swt melayani kita semua,3,2018-10-20 13:59:13
sangat membantu kami utk ngecek data setiap saat,3,2021-09-19 15:53:06
kadang data tidak bisa diakses,3,2018-11-06 17:28:19
aplikasi ya beraaaattttt buat login lodingterusss,3,2022-02-03 09:22:59
sering terhenti ketika browset,3,2019-02-08 08:35:25
sangat mudah memperoleh informasi,3,2019-08-06 07:55:51
saya kasih bintang  fiturna masih kurang lengkap menurut sayasemoga kedepannya lebih baik lagi,3,2018-11-01 22:30:19
semoga pelayanan nya lbh ditingkatkan lg,3,2018-11-28 14:49:10
untuk sementara aplikasi ini lancar,3,2020-06-12 07:56:47
karena bisa tdk bisa login,3,2018-11-26 13:55:22
pengguna baru di aplikasi ini semoga bermanfaat untuk kedepanya,3,2023-12-19 17:04:16
sering gilang sendiri,3,2019-05-22 21:34:36
mudah mudahan bisa membantu,3,2022-02-03 08:17:52
 bintang ntar monitor aplikasi dulu,3,2019-03-17 14:04:50
aplikasinya keren dahh,3,2020-10-28 16:41:23
kalau bisa dikembangkan jg daftat hadir gtk online yg bisa dimonitor admin kabupaten,3,2020-01-14 14:13:17
cukup bagus,3,2019-01-06 22:42:13
sangat bermanfaat,3,2019-05-21 04:44:35
mudah diakses,3,2020-01-12 13:38:49
coba dulu mogga bermanfaat,3,2019-02-09 13:23:40
sangat membantu,3,2019-05-11 00:53:59
mon bedhe tak kerah tadhek mon tadhek tak kerah bedhe,3,2018-11-07 22:34:49
tiga dlu belum nyoba,3,2019-02-28 19:14:50
admin tolong up to date ni apk,3,2020-12-22 23:49:03
masih low,3,2019-11-06 13:51:48
bagus ajah,3,2019-10-25 08:19:12
lumayan,3,2021-02-09 12:37:32
baik,3,2020-12-27 10:10:43
siip,3,2020-10-14 16:19:32
lumayan,3,2019-09-25 20:30:56
membantu,3,2019-10-22 09:44:33
mantap,3,2020-06-17 22:32:20
low,3,2024-05-19 14:11:24
,3,2020-12-14 10:05:11
coba dulu,3,2019-06-12 20:33:16
saya puas,3,2019-06-15 14:09:18
sementara dulu,3,2019-03-14 11:21:59
best,3,2019-05-31 21:12:21
good,3,2019-06-11 20:34:23
"tolong featurnya di upgrade ini jika berjalan seperti dulu jaman 
padamunegeri bisa digunakan disetiap ptk untuk pasang aplikasinya sekarang 
kan hampir semua sudah pake smartphone namun sayang kondisi aplikasi saat 
ini masih hidup enggan mati tak mau jadi saya belumbisa recommended buat 
temanteman ptk",3,2018-05-24 09:24:08
"tolong di upgrade lagi fiturnya supaya bisa di gunakan oleh ptk sehingga 
bermamfaat wassalam",3,2018-05-31 10:23:07
mau login koq error cari ptk nya jg gak lgkap,3,2018-08-27 11:06:08
pencarian ptk tidak berfungsi,3,2018-08-15 18:42:58
tampilannya kurang bagus,3,2018-02-15 07:01:10
ok,3,2018-03-04 20:05:50
ini kalau d pasang di hp saya kok keluar sendiri terus yaa pdhal udh login ,3,2017-08-24 14:29:34
menu edit biodata belum ada  supaya bs disempurnakan lagi terimakasih,3,2016-12-07 07:39:31
jika memungkingkan tolong juga dicantumkan persyaratan atau info terkait pengajuan nuptk terima kasih,3,2017-06-07 18:05:21
saya kasih tiga dulu kalau bagus nanti saya tambah lagi,3,2017-08-18 23:04:53
gak bisa login,3,2016-06-22 16:42:50
siip mbantu banget,3,2016-06-29 05:18:06
memberikan informasi yang bermanfaattks,3,2017-06-15 01:17:41
sangat membantu,3,2017-10-06 13:42:42
ya,3,2016-06-01 08:25:28
helpful,3,2016-10-26 18:11:03
lumayan,3,2016-10-15 07:25:21
lumayan,3,2017-07-22 09:58:09
tidak memuaskan kurang maksimal,3,2016-03-06 21:40:36
sering kudu di restart,3,2016-01-29 19:03:59
lumayan membantu,3,2016-04-16 22:18:00
mudah sekali aplikasinya tp harus login terus ketika buka aplikasinya yaa cukup informatif n uptodate,3,2015-06-16 15:13:43
tidak ada fitur edit datanya untuk sementara bintang  dl,3,2015-05-26 12:48:51
percanggih lagi biar bisa buat edit ptk perindividu,3,2015-04-28 18:21:21
"masih tidak bisa buat scan qr codebila di scan langsung keluar 
aplikasiapa yang terjadi",3,2018-08-12 07:47:14
lengkapi data nomor nik,3,2016-01-02 19:38:27
mudah dan sangat membantu,3,2015-06-06 00:06:50
mohon untuk dikembangkan supaya dapat mengedit dats di aplikasi ini layaknya spt menggunakan laptop,3,2015-02-17 16:50:50
kurang lengkap fiturnya tidak sama dengan yg dibuka lewat laptop,3,2015-04-10 17:43:50
di akun nuptk saya pegid padahal nuptk saya sudah ada dan aktif,3,2015-03-03 11:49:32
jadi lbh simpel ga usah repot pake laptop,3,2015-02-24 22:55:08
masih bingung memanfaatkan fungsi siap ptknya,3,2015-02-28 14:45:48
bisa memantau kondisi sdm pendidikan,3,2014-12-21 18:33:47
memudahkan untuk mengecek ptkbagus kok,3,2015-02-26 15:40:19
simple sangat terbantu,3,2015-04-09 14:16:49
mau masuk g bisa,3,2015-03-16 09:52:24
dengan padamu ptk mudah diakses,3,2015-03-13 09:37:20
ki ta abukteh,3,2014-12-29 12:37:18
jadi lebih mudah,3,2015-04-01 06:53:14
ngak simpel,3,2015-03-23 19:55:01
semangat hidup,3,2014-12-16 10:43:05
thankss,3,2015-03-28 12:49:33
ditingkatkan,3,2015-01-29 02:20:51
siip,3,2015-03-30 14:20:40
ok,3,2015-03-20 19:40:01
kayaknya sulit openx mohon disempurnakan lagi,3,2014-12-03 08:34:39
semoga bermanfaat,3,2014-11-29 21:54:40
sayang cm bs cek data diri sndiri ak sbagai opr,3,2014-11-02 05:57:18
gak bisa buka profile sendiri,3,2014-11-14 18:42:23
tingkatkan,3,2014-11-07 10:04:10
ok,3,2014-11-04 05:32:00
sebaiknya ditambah profil adminsekolah dan bisa mengedit data ptk lewat sini terima kasih,3,2014-10-17 13:31:12
seharusnya srmua ptk bisa menggunakan aplikasi ini tapi masih terlalu sedikit untuk dikatakan banyak ptk yg bisa,3,2014-10-10 09:43:00
sangat bermanfaat sekali u ptk,3,2014-10-01 20:00:24
untuk update informasi nuptk,3,2014-10-06 07:55:20
good,3,2014-10-08 12:22:01
ok,3,2014-09-30 18:03:33
ok,3,2014-10-04 06:15:25
cukup oke,3,2014-09-13 09:42:59
lumayan,3,2014-08-28 09:30:58
bagus,3,2014-09-03 17:18:37
update data version android tidak mengikuti version web tidak singkron  di version web sudah semester  di version android masih semester  tolong di singkronkan datanya,3,2018-02-14 08:56:33
sebenarnya dg adanya apll ini sya cukup trbantu tetapi saya tidak bisa loging,3,2017-06-25 21:58:22
tolong dihilangkan iklan yg mengganggu,3,2018-08-27 09:14:32
memudahkan ptk mendapatkan informasi terbaru,3,2014-10-03 19:13:16
bagus saja tapi agak lambat untuk membuka aplikasinya,3,2018-08-25 21:21:00
semoga membantu saya coba dulu,3,2018-03-16 08:09:21
tp masih ada kekuranganx,3,2016-02-10 20:49:04
membantu ptk mengetahui status dapodiknya,3,2015-07-23 18:42:18
tapi sering update beritanya ditambah yaaa ,3,2016-10-23 07:26:41
ok tp masih perlu perbaikan,3,2014-10-12 19:50:51
perlu perbaikan y gan biar bintang ,3,2016-01-03 15:40:41
mudahan dapat membantu,3,2015-09-19 19:36:32
coba dulu y,3,2018-02-01 16:20:16
sering tidak bisa di buka,3,2014-12-13 20:17:49
sangat membantu,3,2016-03-01 10:15:34
siap ptk,3,2014-09-17 07:18:44
ngunduhnya lama,3,2015-02-27 18:29:22
semoga bermanfaat,3,2018-06-26 15:32:41
good,3,2015-02-24 12:03:28
top,3,2019-05-19 22:15:18
nuptk,3,2014-12-05 10:23:15
oke,3,2014-09-23 09:53:58
baik,3,2019-09-30 08:08:15
super,3,2019-05-29 04:57:59
ok,3,2014-10-07 10:07:57
next,3,2016-06-23 23:06:10
ok,3,2017-01-16 20:16:29
good,3,2018-01-14 22:08:41
coba,3,2017-07-08 23:25:03
ok,3,2014-12-20 13:13:58
sip,3,2019-08-16 13:05:03
selamat malam selama ini aplikasi simpatika lebih mudah nyaman dan dinamis sehingga berdampak pada pelayanan kebutuhan data dan kebutuhan informasi yang mendukung profesi saya sebagai guru profesional sehingga berdampak pada pelayanan internal sekolah dan kegiatan eksternal yang mendukung dan memperkuat motivasi untuk meningkatkan dan mengembangkan energisitas dalam tujuan mencerdaskan kehidupan berbangsa dan bernegara yang terintegrasi dalam karya inovatif untuk mencerdaskan anak bangsa ini,2,2024-12-21 19:38:40
mau login menggunakan data seluler maupun wifi gagal terus ada notif galat,2,2024-12-15 08:57:22
aaah cuma bisa nyari daa ptk doang sedangkan untuk masuk akun pribadi selalu galat maaf bintang  dl,2,2024-12-19 20:52:37
konten aplikasi ini tidak up to date saya mengikuti pretest ppg  dan menunggu pengumuman kelulusannya sudah keluar pengumuman di web simpatika namun tidak muncul di aplikasi ini saya tunggu hampir sepekan tetap tidak ada update informasi akhirnya saya lebih mengandalkan web daripada aplikasi ini,2,2019-06-15 22:20:37
aplikasi apa inijelas nuptk saya terbit di simpatika taunya disearch diaplikasi ini tidak menemukan hasilpayaaaahhh,2,2018-10-09 19:45:13
mohon bantuan bagi sklh yang sudah tidak pakai siap padamu dn ptk mutasi ke kemenag tidak bisa masuk karna data masih di siap padamu sedangkan baik ptk ops sklh dan dinas sudh tidk bisa masuk akun,2,2022-02-18 11:05:09
manis sebenarnya tapi masih banyak erornya semoga bisa lebih baik lagi kedepannya good job,2,2024-02-06 08:45:33
setiap mau masuk gagal terus,2,2024-09-19 20:20:49
terjadi galat saat menghubungi server,2,2024-10-31 06:24:26
masih kurang bagus kadang pas dibuka suka mati sendiri,2,2019-02-07 05:15:58
datanya blm update ada yg sdah pux nuptk tpi disni blm ada nuptkx sya ksih bntang dua aja,2,2019-03-24 15:26:23
tidak dapat melakukan pencarian seluruh indonesia,2,2019-09-25 12:32:32
app masih kurang sempurna,2,2019-11-30 18:31:39
menu tidak seperti biasanyq,2,2018-11-29 05:36:58
saya coba dulu kalau bagus dikasih lagi bintang,2,2024-06-05 05:45:04
terims kasih i om,2,2018-11-14 21:26:15
masih proses saya pske,2,2022-11-29 23:09:07
